;;;;;;;;;;
;;;;;;;;;;
Grupos;Subgrupo;Indicador;Prazo;Método de cálculo;Descrição;Nível de complexidade de atenção;Esfera de governo;Sistema de informação;Referência;Observações da equipe do projeto
Grupo 1 - Pré-natal;Indicadores sobre DESFECHOS de Saúde Pública ;Coeficiente de óbitos fetais ;27/09/2024;Número de óbitos fetais (22 semanas de gestação e mais) / N° total de NV + óbitos fetais > 22 semanas x 1.000;Número de óbitos fetais (ocorridos a partir da 22ª semana completa de gestação, ou 154 dias ou fetos com peso igual ou superior a 500g ou estatura a partir de 25cm) por mil nascimentos totais, na população residente em determinado espaço geográfico;"Atenção Básica; Média/alta complexidade";Município;SIM;MS - https://bvsms.saude.gov.br/bvs/publicacoes/manual_obito_infantil_fetal_2ed.pdf;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 1 - Pré-natal;Indicadores sobre ESTRUTURA e RECURSOS ;Coeficiente de Estabelecimento de Saúde – Atenção Primária à Saúde;27/09/2024;N° de unidades de atenção básica  / N° total de habitantes x 100 ;Número de unidades disponíveis no SUS para realização de atendimentos de atenção básica e integral dividido pelo total de habitantes da localidade, e multiplicado por 100 ;Atenção Básica;Município;TABNET - CNES;Migoto, M. T., Oliveira, R. P. de ., & Freire, M. H. de S.. (2022). Validação de indicadores para monitoramento da qualidade do pré-natal. Escola Anna Nery, 26, e20210262. https://doi.org/10.1590/2177-9465-EAN-2021-0262;
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes com o pré-natal adequado*;27/09/2024;N° de gestantes com o pré?natal adequado / N° total de gestantes acompanhadas x 100;Distribuição percentual de gestantes que realizaram 6 ou mais consultas de pré?natal, e que iniciaram o pré?natal no primeiro trimestre de gravidez (até 12ª semana de gestação);Atenção Básica;Município;SISAB;MS - PORTARIA SAS/MS Nº 650 DE 5 DE OUTUBRO DE 2011;Este indicador pode ser calculado com dados provenientes do SINASC, sendo, neste caso, o denominador o número de nascidos vivos
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Taxa de cobertura do SISAB ;04/10/2024;N° de gestantes cadastradas no sistema de informação para acompanhamento do pré-natal / N° de NV (total de nascidos ?) x 100;Estima a cobertura do pré-natal entre o público alvo;Atenção Básica;Município;SINASC / SISAB;Migoto, M. T., Oliveira, R. P. de ., & Freire, M. H. de S.. (2022). Validação de indicadores para monitoramento da qualidade do pré-natal. Escola Anna Nery, 26, e20210262. https://doi.org/10.1590/2177-9465-EAN-2021-0262;
Grupo 1 - Pré-natal;Indicadores sobre DESFECHOS de Saúde Pública ;Taxa de detecção de sífilis em gestantes *;01/11/2024;N° de casos de sífilis detectados em gestantes, em um determinado período de diagnóstico e local de residência / N° total de NV, de mães residentes no mesmo local, no mesmo período X 1.000;Medir a frequência de casos de sífilis na gestação, por mil NV, em um determinado período e orientar as ações de vigilância epidemiológica da doença no mesmo local de residência e período ;Atenção Básica;Município;SINAN/SINASC;Ministério da Saúde. Boletim Epidemiológico: Sífilis 2023. APÊNDICE B – Indicadores epidemiológicos e operacionais para o monitoramento da sífilis. https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/especiais/2023/boletim-epidemiologico-de-sifilis-numero-especial-out.2023;
Grupo 1 - Pré-natal;Indicadores sobre DESFECHOS de Saúde Pública ;Taxa de HIV positivo em gestantes ;01/11/2024;N° de notificações de HIV positivo em gestantes / N° total de NV x 1.000;Taxa de detecção de gestantes com infecção pelo HIV por 1.000 NV;Atenção Básica;Município;SINASC/SINAN;MS - https://www.gov.br/saude/pt-br/assuntos/noticias/2022/dezembro/arquivos/boletim_hiv_aids_-2022_internet_24-11_finalizado.pdf;
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de seguimento pré-natal de alto risco *;01/11/2024;N° de gestantes que receberam seguimento pré-natal de alto risco / N° total de gestantes que receberam qualquer tipo de seguimento pré-natal x 100;Distribuição percentual de gestantes que receberam seguimento pré-natal de alto risco pelo número total de gestantes que receberam qualquer tipo de seguimento pré-natal;Atenção Básica;Município;SISAB;"Andreucci CB, Cecatti JG, Macchetti CE, Sousa MH. Sisprenatal como instrumento de avaliação da qualidade da assistência à gestante. Rev Saude Publica [Internet]. 2011;45(5):854–64. Available from: http://dx.doi.org/10.1590/s0034-89102011005000064";É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram exame para Toxoplasmose *;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou exames de toxoplasmose em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes acompanhadas no pré?natal que realizaram exames de sorologia para toxoplasmose;Atenção Básica;Município;SIH / SIA;Uchoa JL, Sales AAR, Joventino ES, Ximenes LB. INDICADORES DE QUALIDADE DA ASSISTÊNCIA AO PRÉ-NATAL: REALIDADE DE GESTANTES ATENDIDAS EM UNIDADE DE SAÚDE DA FAMÍLIA. (2010). DOI: 10.5205/reuol.724-5678-1-LE.0401201028;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram sorologia para hepatite B *;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou exames de sorologia para hepatite B em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes que realizaram exames de sorologia para hepatite B em um dado período e local;Atenção Básica;Município;SIH / SIA;Uchoa JL, Sales AAR, Joventino ES, Ximenes LB. INDICADORES DE QUALIDADE DA ASSISTÊNCIA AO PRÉ-NATAL: REALIDADE DE GESTANTES ATENDIDAS EM UNIDADE DE SAÚDE DA FAMÍLIA. (2010). DOI: 10.5205/reuol.724-5678-1-LE.0401201028;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram sorologia para sífilis *;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou exames de sorologia para sífilis em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes que realizaram exames de sorologia para sífilis em um dado período e local;Atenção Básica;Município;SIH / SIA;Secretaria de Saúde do Rio Grande do Sul. Boletim Informativo Nº 05/Setembro de 2020: https://atencaoprimaria.rs.gov.br/upload/arquivos/202009/25134156-05-boletim-tr-gestante.pdf;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram teste anti-HIV *;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou exames para a detecção de HIV em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes que realizaram exames para a detecção de HIV em um dado período e local;Atenção Básica;Município;SIH / SIA;Secretaria de Saúde do Rio Grande do Sul. Boletim Informativo Nº 05/Setembro de 2020: https://atencaoprimaria.rs.gov.br/upload/arquivos/202009/25134156-05-boletim-tr-gestante.pdf;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
